HOSP_ID,HOSPITAL_NAME,FIRM_TYPE,HOSPITAL_TYPE,ADDRESS,ADDRESS1,CITY,STATE,ZIP_CODE,PHONE,COUNTY,WEBSITE,HOSPITAL_OWNERSHIP,STATUS,NUMBER_BEDS,EST_READMISSION_PENALTY_FY2015,READMISSION_RATE_PENALTY_FY_2014,EST_READMISSION_PENALTY_FY2014,READMISSION_RATE_PENALTY_FY_2013,DATE_FISCAL_YEAR_END,TOT_PATIENT_REVENUE,INPATIENT_REVENUE,OUTPATIENT_REVENUE,PATIENT_DISCOUNTS,NET_PATIENT_REVENUE,NET_MEDICARE_REVENUE,NET_MEDICAID_REVENUE,PCT_PATIENT_DISCOUNTS,TOT_SALARIES,TOTAL_CONTRACT_LABOR,LABOR_COMP_RATIO,NET_INCOME,NUMBER_EMPLOYEES,NUMBER_AFFILIATED_PHYSICIANS,AVERAGE_LENGTH_OF_STAY,BED_UTILIZATION,AVG_DAILY_CENSUS,TOTAL_DAYS,INPATIENT_PART_C_DAYS,BIRTHS,TOTAL_ER_VISITS,PCT_MEDICARE_ER_ADMITTED,OUTPATIENT_SURGERIES,INPATIENT_SURGERIES,TOT_SURGERIES,LATITUDE,LONGITUDE
10011,Truman Memorial Veterans Hospital,Hospital,VA Hospital,800 Hospital Drive,,Columbia,MO,65201,573.814.6000,MO - Boone,www.columbiamo.va.gov/,Governmental - Federal,Active,250,,,,,,,,,,,,,,,,,,,,,,,,,,13146.78,,,,,38.9376,-92.3301
10012,Murphy VA Medical Center (New Mexico VA Medical Center),Hospital,VA Hospital,1501 San Pedro SE,,Albuquerque,NM,87108,505.265.1711,NM - Bernalillo,www.albuquerque.va.gov/,Governmental - Federal,Active,483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0554,-106.578
10013,Stratton VA Medical Center,Hospital,VA Hospital,113 Holland Avenue,,Albany,NY,12208,518.626.5000,NY - Albany,www.albany.va.gov/,Governmental - Federal,Active,975,,,,,,,,,,,,,,,,,,,,,,,,,,11096.58,,,531,,42.6485,-73.7736
10014,Georgiana Hospital,Hospital,Short Term Acute Care Hospital,515 Miranda St,,Georgiana,AL,36033,334.376.2205,AL - Butler,,Proprietary - Corporation,Active,22,9698.785199,-3.10E-03,5521.157113,-1.00E-02,31-Dec,12360893.54,3384656.304,8976237.235,7518844.82,4842048.719,,295765.2051,0.6082,2978864.496,,0.753844851,-137643.6051,53,6,3.164788732,0.25792011,5.674242424,2070.653165,22.1165,,4223.962561,2.01E-02,,0,0,31.6406,-86.7427
10015,James A Peters VA Medical Center,Hospital,VA Hospital,130 West Kingsbridge Rd.,,Bronx,NY,10468,718.584.9000,NY - Bronx,www.bronx.va.gov/,Governmental - Federal,Active,1192,,,,,,,,,,,,,,,,,,,,,,,,,,12128.82,,,1002,,40.8694,-73.9029
10016,Fargo VA Health Care System,Hospital,VA Hospital,2101 North Elm,,Fargo,ND,58102,800.410.9723,ND - Cass,www.fargo.va.gov/,Governmental - Federal,Active,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.9064,-96.7769
10017,Roseburg VA Medical Center (VA Roseburg Healthcare System),Hospital,VA Hospital,913 NW Garden Valley Blvd,,Roseburg,OR,97470,541.440.1000,OR - Douglas,www.roseburg.va.gov/,Governmental - Federal,Active,518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.229,-123.368
10018,McGehee Hospital,Hospital,Critical Access Hospital,900 South Third Street,,McGehee,AR,71654,870.222.5600,AR - Desha,,Voluntary Nonprofit - Other,Active,25,,,,,30-Jun,10823141,1428174,9394967,3567959,7255182,3428522,456264,0.3296,,,0.113715411,834840,90,4,3.481632653,9.35E-02,2.336986301,853,,,3853.466501,1.99E-03,325,0,325,33.6189,-91.3935
10019,VA Pittsburgh Health Care System - University Drive Campus,Hospital,VA Hospital,University Drive,,Pittsburgh,PA,15240,412.688.6000,PA - Allegheny,www.pittsburgh.va.gov/,Governmental - Federal,Active,686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.4451,-79.961
10020,Prattville Baptist Hospital,Hospital,Short Term Acute Care Hospital,124 S Memorial Dr,,Prattville,AL,36067,334.365.0651,AL - Autauga,www.baptistfirst.org/facilities/prattville-baptist-hospital,Governmental - Hospital District,Active,56,90152.25781,-1.14E-02,53653.14367,-1.00E-02,30-Jun,181220731,63893197,117327534,149482596,31738135,7973095,3264238,0.8248,12486360,1019790,0.463824292,-2079849,287,46,4.319148936,0.53630137,30.03287671,10962,573,,29816.64,0.275879653,1138,183,1284,32.4644,-86.4509
10021,Thomas Hospital,Hospital,Short Term Acute Care Hospital,750 Morphy Avenue,,Fairhope,AL,36532,251.928.2375,AL - Baldwin,www.thomashospital.com,Governmental - County,Active,129,84572.0991,-3.40E-03,83611.36821,0,31-Mar,469247598,200251716,268995882,352316818,116930780,35178018,6488326,0.7508,38804921,458542,0.418981897,5147150,810,153,4.41847962,0.695274504,89.69041096,35339,6055,1131,32528.51769,0.32179873,7275,2392,10924,30.5201,-87.8883
10022,North Baldwin Infirmary,Hospital,Short Term Acute Care Hospital,1815 Hand Avenue,,Bay Minette,AL,36507,251.937.5521,AL - Baldwin,www.nbinfirmary.com/,Voluntary Nonprofit - Other,Active,55,3771.687491,-2.00E-04,534.0340301,0,31-Mar,62556411,22730738,39825673,41305199,21251212,4234461,1985955,0.6602,8771618,2325167,0.617007915,-1932230,169,22,3.773872291,0.294694894,16.20821918,6442,844,228,13868.94,0.249885163,1930,746,2145,30.901,-87.7827
10023,Medical Center Barbour,Hospital,Short Term Acute Care Hospital,820 W Washington St,,Eufaula,AL,36027,334.688.7000,AL - Barbour,www.medctrbarbour.org/,Governmental - County,Active,30,12411.88747,-3.70E-03,15360.38282,0,30-Sep,65806564,24298429,41508135,46323211,19483353,5583291,871528,0.7039,7359812,126480,0.41765306,266238,155,19,4.452904239,0.518082192,15.54246575,5673,406,,14600.37217,0.192046856,494,251,581,31.8881,-85.1568
10024,Bibb Medical Center,Hospital,Short Term Acute Care Hospital,208 Pierson Ave,,Centreville,AL,35042,205.926.4881,AL - Bibb,www.bibbmedicalcenter.com/,Governmental - County,Active,25,2489.373565,-5.00E-04,338.0473224,0,30-Sep,27638799,14798211,12840588,9206147,18432652,1343393,227613,0.333,7724398,866761,0.494978965,1173981,106,15,9.690537084,0.415232877,10.38082192,3789,99,,4448.977064,0.115667718,40,1,41,32.9515,-87.1445
10025,St Vincents Blount,Hospital,Critical Access Hospital,150 Gilbreath Drive,,Oneonta,AL,35121,205.274.3000,AL - Blount,www.stvhs.com/blount/default.asp,Voluntary Nonprofit - Church,Active,25,0,-3.80E-03,8842.585649,-4.50E-03,30-Jun,95735370.15,19918810.91,75816559.24,78255919.32,17479450.84,1885590.859,2352601.888,0.8174,,,0,201422.0693,131,21,4.611059908,0.532234043,13.30585106,4856.245333,796.917,,16320,9.14E-02,311,174,449,33.9333,-86.495
10026,Bullock County Hospital,Hospital,Short Term Acute Care Hospital,102 West Conecuh Avenue,,Union Springs,AL,36089,334.738.2140,AL - Bullock,www.bullockcountyal.com/quality-of-life/healthcare,Proprietary - Corporation,Active,30,0,-2.10E-03,5191.158117,-2.30E-03,31-Dec,36881549,25221884,11659665,29265772,7615777,,2275479,0.7935,6080127,357300,0.84608793,-538893,122,4,4.526634383,0.341461187,10.24383562,3739,2,,6850.32,0.429236499,,,,32.1433,-85.7136
10027,L V Stabler Memorial Hospital,Hospital,Short Term Acute Care Hospital,29 L V Stabler Drive,,Greenville,AL,36037,334.382.2671,AL - Butler,www.lvstabler.com,Proprietary - Corporation,Active,44,0,0,0,0,31-Jan,135633136,58004257,77628879,111677896,23955240,4470123,2061912,0.8233,8422536,30090,0.353593661,-7696734,169,23,3.419327006,0.246762142,10.85753425,3963,292,,12085.15289,0.167144907,491,261,582,31.8289,-86.6454
10028,Jacksonville Medical Center,Hospital,Short Term Acute Care Hospital,1701 Pelham Road S,,South Jacksonville,AL,36265,256.435.4970,AL - Calhoun,www.jmcfirst.com/,Governmental - Other,Active,60,21539.14768,0,0,-4.00E-03,30-Sep,130478541,31739751,98738790,113830810,16647731,3583135,4052632,0.8724,8535581,,0.578504722,-2197321,170,31,4.167571761,0.219497717,13.16986301,5372,440,346,14570.7,0.189619943,631,251,690,33.7821,-85.7617
10029,Stringfellow Memorial Hospital,Hospital,Short Term Acute Care Hospital,301 East 18th St,,Anniston,AL,36201,256.235.8900,AL - Calhoun,www.stringfellowmemorial.com/,Proprietary - Corporation,Active,125,78936.72986,-1.50E-03,16481.95982,-7.00E-04,30-Jun,435975395,146323340,289652055,396391899,39583496,14034889,3896803,0.9092,13150039,40342,0.418163722,-5593472,248,27,3.827863362,0.250520548,31.31506849,11430,996,,22912.69278,0.250153657,1551,993,2276,33.6676,-85.8285
10030,Northeast Alabama Regional Medical Center,Hospital,Short Term Acute Care Hospital,400 East 10th Street,,Anniston,AL,36207,256.235.5121,AL - Calhoun,www.rmccares.org,Governmental - Hospital District,Active,217,276754.5297,-4.00E-03,158511.8201,-2.00E-03,30-Jun,733109652,354571962,378537690,609915869,123193783,56618434,13577379,0.8319,56878759,912649,0.578801286,-17083960,1199,169,4.54265268,0.665538792,144.4219178,55861,3817,1368,42041.31315,0.375368812,2887,3585,5882,33.6571,-85.8233
10031,G H Lanier Memorial Hospital,Hospital,Short Term Acute Care Hospital,4800 48th St,,Valley,AL,36854,334.756.9180,AL - Chambers,www.lanierhospital.com,Voluntary Nonprofit - Other,Active,84,15281.51519,-1.10E-03,8556.456117,-2.90E-03,31-Jan,77514196.32,29374436,48139760.32,40000567.23,37513629.08,9012369.551,7222887.72,0.516,18998570.07,768628.5234,0.566903233,-4743704.131,449,38,5.215147453,0.398726467,33.49302326,13234.97196,981.439,428,15923.79813,0.230103323,693,587,1123,32.8251,-85.1702
10032,Cherokee Medical Center,Hospital,Short Term Acute Care Hospital,400 Northwood Dr,,Centre,AL,35960,256.927.5531,AL - Cherokee,www.cherokeemedicalcenter.com,Proprietary - Corporation,Active,45,0,-1.40E-03,2611.13065,-3.10E-03,31-Mar,68297400,16771437,51525963,52737665,15559735,3843042,1426691,0.7721,5270503,1272990,0.422092857,-4442009,115,18,5.337009804,0.265144597,11.93150685,4355,143,,9018.84,0.138470452,633,58,645,34.1626,-85.6512
10033,Chilton Medical Center (Closed October 2012),Hospital,Short Term Acute Care Hospital,1010 Lay Dam Road,,Clanton,AL,35045,205.755.2500,AL - Chilton,www.chiltonmedicalcenter.net,,Closed,,,,,-7.00E-04,,,,,,,,,,,,,,,,,,,,,,,,,0,0,32.8525,-86.623
10034,Southwest Alabama Medical Center (Closed),Hospital,Short Term Acute Care Hospital,33700 Highway 43,,Thomasville,AL,36784,334.636.6221,AL - Clarke,www.southwestalabamamedicalcenter.com/,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,31.9461,-87.7385
10035,Grove Hill Memorial Hospital,Hospital,Short Term Acute Care Hospital,295 Jackson Hwy S,,Grove Hill,AL,36451,251.275.3191,AL - Clarke,www.grovehillmemorial.org/,Governmental - City,Active,24,0,-7.00E-04,2043.560779,0,30-Jun,46637398,16993260,29644138,28722556,17914842,2940932,2479323,0.6158,8089951,463179,0.557095898,-896967,111,14,3.473947181,0.494748858,11.8739726,4867,81,155,7416.42,0.119186047,565,188,680,31.7288,-87.7692
10036,Jackson Medical Center,Hospital,Short Term Acute Care Hospital,220 Hospital Drive,,Jackson,AL,36545,251.246.9021,AL - Clarke,www.jacksonmedicalcenter.com/jmc/,Proprietary - Corporation,Active,35,1238.858712,-1.30E-03,1175.813708,-2.40E-03,31-Dec,24933495,4366020,20567475,17224241,7709254,1502935,2014461,0.6908,4646306,256825,0.724173182,-700339,86,8,4.748188406,0.205166341,7.180821918,2621,68,77,7327.464708,0.124600639,130,37,130,31.5303,-87.8932
10037,Clay County Hospital,Hospital,Short Term Acute Care Hospital,83825 Highway 9    P O Box 1270,,Ashland,AL,36251,256.354.2131,AL - Clay,www.claycountyhospital.com/,Governmental - County,Active,46,26591.25486,-4.00E-03,13037.93688,-2.60E-03,30-Sep,29382336,14186010,15196326,14568094,14814242,4601051,1237708,0.4958,7805049,201197,0.669237616,-2056311,134,12,5.095022624,0.40238237,18.50958904,6756,65,,6061.170894,0.182679296,319,37,324,33.2774,-85.8221
10038,Elba General Hospital (Closed February 2013),Hospital,Short Term Acute Care Hospital,987 Drayton Street,,Elba,AL,36323,334.897.2257,AL - Coffee,,,Closed,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,31.4293,-86.0762
10039,Medical Center Enterprise,Hospital,Short Term Acute Care Hospital,400 N Edwards Street,,Enterprise,AL,36330,334.347.0584,AL - Coffee,www.mcehospital.com,Proprietary - Corporation,Active,117,54247.12659,-2.30E-03,18787.51369,-3.30E-03,31-Dec,362532070,114117584,248414486,303421661,59110409,9739233,4879600,0.8369,18662887,,0.31643958,-1363435,339,62,3.564531105,0.228427585,26.7260274,11517,253,766,24095.05137,0.163124754,3528,999,4527,31.3182,-85.8551
10040,Shoals Hospital,Hospital,Short Term Acute Care Hospital,201 West Avalon Avenue,,Muscle Shoals,AL,35661,256.386.1600,AL - Colbert,www.chgroup.org/,Proprietary - Corporation,Active,122,38546.84742,-4.00E-04,3854.094323,0,31-Mar,156726072,77018647,79707425,121827401,34898671,7447852,2646105,0.7773,13036159,235908,0.443607093,-73680,208,43,4.235514019,0.152661127,18.62465753,6798,331,,13757.23673,0.2341169,609,485,1094,34.745,-87.6756
10041,Evergreen Medical Center,Hospital,Short Term Acute Care Hospital,101 Crestview Avenue,,Evergreen,AL,36401,251.578.2480,AL - Conecuh,www.evergreenmedical.org/,Proprietary - Corporation,Active,44,84137.56181,-1.20E-02,48964.3902,-5.90E-03,31-Dec,33326446,14379867,18946579,16605877,16720569,5208745,1283451,0.4982,6172336,302343,0.451197923,673914,112,10,3.098779779,0.332067248,14.6109589,5333,325,,10788.63058,0.194391087,446,31,477,31.4313,-86.9414
10042,Andalusia Regional Hospital,Hospital,Short Term Acute Care Hospital,849 South Three Notch Street,,Andalusia,AL,36420,334.222.8466,AL - Covington,www.andalusiaregional.com/,Proprietary - Corporation,Active,88,0,-3.30E-03,25646.18043,-5.90E-03,31-Mar,139614322,54687380,84926942,106963941,32650381,11268465,4114329,0.7661,11467027,,0.386507067,1679743,241,48,3.471157052,0.29617061,26.0630137,10410,301,390,16466.33021,0.243055556,2545,939,3199,31.2926,-86.5023
10043,Mizell Memorial Hospital,Hospital,Short Term Acute Care Hospital,702 N Main St,,Opp,AL,36467,334.493.3541,AL - Covington,www.mizellmh.com,Governmental - County,Active,45,15461.39125,-5.60E-03,24982.99615,-7.10E-03,30-Sep,46358808,17493776,28865032,32472667,13886141,4881845,1354928,0.7004,6695328,8640,0.571600202,-442798,145,19,3.256834075,0.311902588,14.03561644,5123,61,,11107.78855,0.241429613,519,327,595,31.2849,-86.2554
10044,Florala Memorial Hospital (Closed December 2013),Hospital,Short Term Acute Care Hospital,24273 Fifth Avenue,,Florala,AL,36442,334.858.3287,AL - Covington,www.floralahospital.org/,,Closed,,1499.784895,-6.40E-03,1691.820102,-7.10E-03,,,,,,,,,,,,,,,1,,,,,,,2579.735683,0.135446686,,0,0,31.002,-86.3209
10045,Crenshaw Community Hospital,Hospital,Short Term Acute Care Hospital,101 Hospital Circle,,Luverne,AL,36049,334.335.3374,AL - Crenshaw,www.crenshawcommunityhospital.com/,Proprietary - Corporation,Active,29,1755.041626,0,0,0,31-Dec,31347562,16691965,14655597,24385830,6961732,1633043,1088384,0.7779,5834445,,0.838073772,-1164256,106,6,4.129770992,0.198888261,5.767759563,2164,7,107,7670.4,0.267234702,241,2,243,31.7165,-86.2638
10046,Cullman Regional Medical Center,Hospital,Short Term Acute Care Hospital,1912 Alabama Highway 157,,Cullman,AL,35058,256.737.2000,AL - Cullman,www.crmchospital.com,Governmental - County,Active,115,186023.9795,-1.60E-03,34588.4258,-3.00E-04,30-Jun,367717448,159470612,208246836,273754951,93962497,34186084,6981125,0.7444,36682089,105658,0.501459641,6762015,777,126,3.394708001,0.516545563,59.40273973,21682,2549,887,40985.99759,0.236528822,6460,1865,7742,34.2077,-86.8749
10047,Dale Medical Center,Hospital,Short Term Acute Care Hospital,126 Hospital Ave,,Ozark,AL,36360,334.774.2601,AL - Dale,www.dalemedical.org/,Governmental - County,Active,77,47552.9313,0,0,0,30-Sep,86577051,28275377,58301674,60979683,25597368,8046830,3032206,0.7043,14916276,872680,0.678396232,-429157,288,31,4.541528239,0.291834193,22.47123288,8202,40,,18490.08032,0.145603691,952,580,1110,31.452,-85.6316
10048,Vaughan Regional Medical Center Parkway Campus,Hospital,Short Term Acute Care Hospital,1015 Medical Center Parkway,,Selma,AL,36701,334.418.4100,AL - Dallas,www.vaughanregional.com/,Proprietary - Corporation,Active,163,147185.3127,-9.10E-03,156720.031,-1.00E-02,30-Jun,333198173,171536263,161661910,270716980,62481193,23745273,10836686,0.8124,24747653,76709,0.44869441,10931,463,77,3.580898523,0.356651819,58.13424658,22796,1260,685,27488.48473,0.306885037,2554,1499,3548,32.4282,-87.0524
10049,Dekalb Regional Medical Center,Hospital,Short Term Acute Care Hospital,200 Med Center Drive,,Fort Payne,AL,35968,256.845.3150,AL - De Kalb,www.dekalbregional.com/pages/home.aspx,Proprietary - Corporation,Active,97,62018.37543,-3.10E-03,33108.55429,-2.80E-03,31-Mar,294669710,118933751,175735959,239547861,55121849,10912223,4309198,0.8129,17010312,748609,0.32307073,-4363216,357,51,3.648159701,0.291173563,28.24383562,11696,1090,728,24385.70183,0.244787645,3904,1234,4516,34.2623,-85.8554
10050,Community Hospital,Hospital,Short Term Acute Care Hospital,805 Friendship Road,,Tallassee,AL,36078,334.283.6541,AL - Elmore,www.chal.org/,Voluntary Nonprofit - Other,Active,37,3340.620098,-5.60E-03,25888.91133,-4.00E-04,30-Sep,51674285,17097203,34577082,26457394,25216891,5196411,2108105,0.512,14159080,36600,0.617579622,-290511,229,24,4.31872214,0.430433173,15.9260274,5813,1102,,11567.533,0.230705048,349,145,438,32.5356,-85.9118
10051,Elmore Community Hospital,Hospital,Short Term Acute Care Hospital,500 Hospital Drive,,Wetumpka,AL,36092,334.567.4311,AL - Elmore,www.elmorehospital.com/home.cfm,Proprietary - Partnership,Active,33,2700.42568,-4.20E-03,6920.888424,-3.40E-03,31-Dec,33734006,5919401,27814605,19653854,14080152,2548107,498486,0.5826,6355376,,0.512653912,230962,117,19,3.484978541,0.404483188,13.34794521,4872,101,,9229.349306,0.225806452,496,1,496,32.5514,-86.1901
10052,D W Mcmillan Memorial Hospital,Hospital,Short Term Acute Care Hospital,1301 Belleville Avenue,,Brewton,AL,36426,251.867.8061,AL - Escambia,www.dwmmh.org/getpage.php?name=index,Governmental - County,Active,49,28566.52998,-6.10E-03,23856.58092,-2.90E-03,30-Sep,75336977,18510886,56826091,52586890,22750087,7387231,4032588,0.698,10134091,,0.564047689,-571362,210,25,4.380387258,0.35387196,17.33972603,7013,,297,12399.30557,0.222932197,1469,411,1769,31.1271,-87.072
10053,Atmore Community Hospital,Hospital,Short Term Acute Care Hospital,401 Medical Park Drive,,Atmore,AL,36502,251.368.2500,AL - Escambia,www.ebaptisthealthcare.org/atmorecommunityhospital/default.aspx,Governmental - County,Active,33,27715.20285,-1.08E-02,41397.8429,-9.50E-03,30-Sep,93024424,27264461,65759963,75185665,17838759,5583722,925306,0.8082,8149363,7349,0.52934865,1779218,141,19,3.890101892,0.443752594,14.64383562,5345,268,,11286.15216,0.196555597,365,170,446,31.0184,-87.4796
10054,Gadsden Regional Medical Center,Hospital,Short Term Acute Care Hospital,1007 Goodyear Avenue,,Gadsden,AL,35903,256.494.4000,AL - Etowah,www.gadsdenregional.com,Proprietary - Corporation,Active,238,454152.3096,-4.70E-03,205380.9755,-5.70E-03,30-Sep,1929382258,1118024864,811357394,1685561633,243820625,54277395,9957579,0.8736,53634608,5571366,0.243257054,2553984,1103,144,5.075053875,0.755220444,179.7424658,68295,8130,1169,43719.35045,0.4411217,2388,6416,5446,34.0095,-85.9708
10055,Riverview Regional Medical Center,Hospital,Short Term Acute Care Hospital,600 South Third Street,,Gadsden,AL,35901,256.543.5200,AL - Etowah,www.riverviewregional.com/default.aspx,Proprietary - Corporation,Active,256,315574.5889,-9.70E-03,247725.9615,-6.90E-03,30-Jun,911180913,502479160,408701753,824653297,86527616,30550195,7200827,0.905,23606699,1822891,0.363638044,4962505,472,82,5.964012115,0.358261986,91.71506849,33476,4388,,20651.94,0.380519943,2211,3048,3481,34.0052,-86.004
10056,Fayette Medical Center (FKA: Weimer Medical Center),Hospital,Short Term Acute Care Hospital,1653 Temple Avenue North,,Fayette,AL,35555,205.932.5966,AL - Fayette,www.dchsystem.com/body.cfm?id=36928,Governmental - Other,Active,42,35811.10776,-3.40E-03,14577.31705,0,30-Sep,81191160,29080771,52110389,58407240,22783920,5314230,1528949,0.7193,11132497,269522,0.616066814,-1258841,180,21,6.407909605,0.369928245,15.5369863,5671,,,13177.76418,0.17417854,851,100,951,33.707,-87.8245
10057,Russellville Hospital,Hospital,Short Term Acute Care Hospital,15155 Highway 43,,Russellville,AL,35653,256.332.1611,AL - Franklin,www.russellvillehospital.com/,Proprietary - Corporation,Active,92,76514.35198,-5.60E-03,42242.91205,-1.00E-02,31-Dec,93557230,38635080,54922150,69617473,23939757,7108794,5749973,0.7441,10770068,,0.516669823,-3315875,191,21,3.998982188,0.234008338,21.52876712,7858,221,,10792.30168,0.273367953,1044,907,1355,34.524,-87.7161
10058,Red Bay Hospital,Hospital,Critical Access Hospital,211 Hospital Road,,Red Bay,AL,35582,256.356.9532,AL - Franklin,www.redbayhospital.com,Governmental - Other,Active,25,,,,,30-Sep,20219341,6561949,13657392,14018814,6200527,1438389,460345,0.6933,,,0.152362049,-811431,69,8,7.202072539,0.304657534,7.616438356,2780,,,4061.204544,2.59E-03,3,2,5,34.4575,-88.1476
10059,Wiregrass Medical Center,Hospital,Short Term Acute Care Hospital,1200 W Maple Avenue,,Geneva,AL,36340,334.684.3655,AL - Geneva,www.wiregrassmedicalcenter.org,Governmental - County,Active,73,0,-2.60E-03,10548.44408,0,30-Sep,33443087,17113676,16329411,18138730,15304357,4052787,1413505,0.5423,8065602,332782,0.678156031,-1292360,136,12,4.325288562,0.154700694,11.29315068,4122,,,12114.97553,0.228167967,704,105,769,31.0483,-85.8901
10060,Greene County Hospital,Hospital,Short Term Acute Care Hospital,509 Wilson Avenue,,Eutaw,AL,35462,205.372.3388,AL - Greene,,Governmental - County,Active,20,2591.87899,-9.30E-03,9320.533729,-1.00E-02,30-Sep,16512676,6319274,10193402,4648001,11864675,1528037,430745,0.2814,6150425,,0.617686704,-709354,95,3,3.188630491,0.169041096,3.380821918,1234,,,4892.023676,0.176941553,,,,32.8423,-87.8901
10061,Hale County Hospital,Hospital,Short Term Acute Care Hospital,508 Green Street,,Greensboro,AL,36744,334.624.3024,AL - Hale,www.halecountyhospital.com/,Governmental - Other,Active,28,0,0,0,0,30-Sep,15003146,3291887,11711259,7031108,7972038,1802316,2536075,0.4686,4127405,,0.594813146,-241084,72,7,6.547557841,0.249217221,6.978082192,2547,56,,7489.638954,8.89E-02,150,3,153,32.6948,-87.5874
